Participant,Session,Delay,Environment,Block,Trial,TwoDTrial,Visible,TrialTime,RewardY,RewardX,RewardFound,RewardType
12,Train,Short,3,10,35,0,0,5.9721,NA,NA,1,M
12,Train,Short,3,10,37,0,0,5.456042,NA,NA,1,W
12,Train,Short,3,10,38,0,0,6.181706,NA,NA,1,M
12,Train,Short,3,10,39,0,0,5.403255,NA,NA,1,M
14,Train,Long,3,3,1,0,1,5.130361,NA,NA,1,F
14,Train,Long,3,3,2,0,0,40.1221,NA,NA,1,NoReward
14,Train,Long,3,4,1,0,1,5.269731,NA,NA,1,F
14,Train,Long,3,4,2,0,1,4.664919,NA,NA,1,F
14,Train,Long,3,4,3,0,1,6.239489,NA,NA,1,F
14,Train,Long,3,4,4,0,1,6.456703,NA,NA,1,F
14,Train,Long,3,4,6,0,1,6.919877,NA,NA,1,F
14,Train,Long,3,4,7,0,1,8.856178,NA,NA,1,F
14,Train,Long,3,4,8,0,1,6.737998,NA,NA,1,F
14,Train,Long,3,4,9,0,1,9.422146,NA,NA,1,F
14,Train,Long,3,4,10,0,1,6.055035,NA,NA,1,F
14,Train,Long,3,4,11,0,1,8.041578,NA,NA,1,F
14,Train,Long,3,4,12,0,1,4.156326,NA,NA,1,F
14,Train,Long,3,5,1,0,0,3.213061,NA,NA,1,F
14,Train,Long,3,5,3,0,0,5.281956,NA,NA,1,F
14,Train,Long,3,5,6,0,0,9.637645,NA,NA,1,F
14,Train,Long,3,5,10,0,0,5.81747,NA,NA,1,F
14,Train,Long,3,5,11,0,0,4.596688,NA,NA,1,F
14,Train,Long,3,6,1,0,1,8.956976,NA,NA,1,W
14,Train,Long,3,6,2,0,1,9.357317,NA,NA,1,W
14,Train,Long,3,6,3,0,1,7.571106,NA,NA,1,W
14,Train,Long,3,6,4,0,1,4.067054,NA,NA,1,W
14,Train,Long,3,6,6,0,1,7.398417,NA,NA,1,W
14,Train,Long,3,6,9,0,1,8.369425,NA,NA,1,W
14,Train,Long,3,6,10,0,1,6.319465,NA,NA,1,W
14,Train,Long,3,6,11,0,1,4.143251,NA,NA,1,W
14,Train,Long,3,7,1,0,0,4.997391,NA,NA,1,W
14,Train,Long,3,7,4,0,0,10.93766,NA,NA,1,W
14,Train,Long,3,7,5,0,0,11.7958,NA,NA,1,W
14,Train,Long,3,7,9,0,0,7.199394,NA,NA,1,W
14,Train,Long,3,7,14,0,0,3.799042,NA,NA,1,W
14,Train,Long,3,8,1,0,1,4.233343,NA,NA,1,M
14,Train,Long,3,8,2,0,1,7.503061,NA,NA,1,M
